# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
4 4 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.20138141296647314520469773627410300211103298593932e+00 -1.56562378763831860792989926419943527062471481222058e+00 7.83266825928909500746697643638242512195054063383291e-01
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
8 8 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.13238821464335273674813556599617710149119100410193e+00 -1.49158910743970655037709287056697136465638110660749e+00 1.14555923989440863234236399456448488319258074970843e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16 16 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.11532618791835408463965017078690851564118934420022e+00 -1.45306485281347706282132250270017153020506538494559e+00 1.49870495940002610085971934215901271140183961862882e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32 32 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.11106936691874223178603337830012863734745228009375e+00 -1.43365846614624827761673603789418996142080986793170e+00 1.84676759003955889449273099059854975640219300663483e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
64 64 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.11000566703769718930607970046496808134967168311769e+00 -1.42393838983301087944724546864975742000910436255827e+00 2.19221139314057108292662718815872766788204369933271e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
128 128 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10973977315155035027426479922075804981072659820653e+00 -1.41907627208498524692778586481572299882354569614601e+00 2.53633133510860289366748590484216927608195253706002e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
256 256 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10967330161516124187923265014764834861206820078263e+00 -1.41664495419683229886531236956574207637885888865290e+00 2.87978625520249915915051835632913131043679195141149e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
