# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
512 512 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965668385189261193932273503942745419196768295139e+00 -1.41542926290500330007568726056511610965918163898292e+00 3.22290795449306504384645531021787134505070110225980e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
1024 1024 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965252941862540309068494394609544833071176576564e+00 -1.41482141321652493981896129480932019422260171792408e+00 3.56586287371730794281791044273989985683241016394552e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
2048 2048 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965149081078044390227940951617332767657975031623e+00 -1.41451748786699355295362133249989613092679442731194e+00 3.90873436146498246103829442308726418604131153773813e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
4096 4096 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965123115884869384474154959459923097575213268310e+00 -1.41436552512906721720787692787067211524907740278694e+00 4.25156412323501455178135882678431158563378270194652e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
8192 8192 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965116624586759943205778738041700179662998529244e+00 -1.41428954375220899665543527388338783001007360905552e+00 4.59437301947156788997282163214294486164505995734768e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16384 16384 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965115001762244102263342245792756917058427273980e+00 -1.41425155306279300565706155888498653511675928821487e+00 4.93717148230711497988532715940651397985470063769120e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32768 32768 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965114596056115861988477785879194420902455899909e+00 -1.41423255771796165009456783699269402418462438546749e+00 5.27996472828382940336167086433629567872310248299223e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
65536 65536 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965114494629583846917305533683939040345614137211e+00 -1.41422306004553055230625018786160850941080058234338e+00 5.62275536579157475422313983219156080848103511507701e+00
# lattice: square
# precision: 50
# Lx Ly Jx Jy T 1/T F/N E/N C/N
inf inf 1.00000000000000000000000000000000000000000000000000e+00 1.00000000000000000000000000000000000000000000000000e+00 2.26918531421302196811449081030657247572598158550400e+00 4.40686793509771512616304662489896154514080164130818e-01 -2.10965114460820739845893363065839980531156850610636e+00 N/A N/A
